u,y,time
2,0.1256637061435917,0.03
2,0.24343172876631197,0.04
2,0.35380016829504557,0.05
2,0.45723395424754637,0.060000000000000005
2,0.55416880375842,0.07
2,0.6450130570472898,0.08
2,0.7301493975610963,0.09
2,0.8099364640366689,0.09999999999999999
2,0.8847103612744187,0.10999999999999999
2,0.9547860759873207,0.11999999999999998
2,1.0204588036894806,0.12999999999999998
2,1.0820051922138343,0.13999999999999999
2,1.1396845070973263,0.15
2,1.1937397237427767,0.16
2,1.244398550958196,0.17
2,1.2918743901852268,0.18000000000000002
2,1.3363672344574844,0.19000000000000003
2,1.3780645108756813,0.20000000000000004
2,1.417141870148476,0.21000000000000005
2,1.4537639265250086,0.22000000000000006
2,1.488084951236104,0.23000000000000007
2,1.5202495223652783,0.24000000000000007
2,1.550393133887147,0.25000000000000006
2,1.5786427664388205,0.26000000000000006
2,1.605117422228675,0.2700000000000001
2,1.629928626335815,0.2800000000000001
2,1.6531808965119608,0.2900000000000001
2,1.6749721834648132,0.3000000000000001
2,1.6953942834775988,0.3100000000000001
2,1.7145332251029635,0.3200000000000001
2,1.7324696315601735,0.3300000000000001
2,1.7492790603622281,0.34000000000000014
2,1.7650323216035713,0.35000000000000014
2,1.7797957762491967,0.36000000000000015
2,1.793631615681696,0.37000000000000016
2,1.8065981236838475,0.38000000000000017
2,1.8187499219603536,0.3900000000000002
2,1.8301382002329922,0.4000000000000002
2,1.8408109318784638,0.4100000000000002
2,1.8508130760173123,0.4200000000000002
2,1.8601867669052257,0.4300000000000002
2,1.8689714914245292,0.4400000000000002
2,1.8772042554235597,0.45000000000000023
2,1.8849197396046284,0.46000000000000024
2,1.8921504456172544,0.47000000000000025
2,1.8989268329720899,0.48000000000000026
2,1.9052774473522887,0.49000000000000027
2,1.9112290408628352,0.5000000000000002
2,1.9168066847243839,0.5100000000000002
2,1.922033874886337,0.5200000000000002
2,1.926932631004056,0.5300000000000002
2,1.9315235891971518,0.5400000000000003
2,1.9358260889796004,0.5500000000000003
2,1.9398582547278767,0.5600000000000003
2,1.943637072030296,0.5700000000000003
2,1.9471784592391848,0.5800000000000003
2,1.9504973345272942,0.5900000000000003
2,1.9536076787309375,0.6000000000000003
2,1.9565225942445748,0.6100000000000003
2,1.9592543602149426,0.6200000000000003
2,1.9618144842672336,0.6300000000000003
2,1.9642137509812254,0.6400000000000003
2,1.9664622673215637,0.6500000000000004
2,1.9685695052135763,0.6600000000000004
2,1.9705443414439707,0.6700000000000004
2,1.9723950950544962,0.6800000000000004
2,1.974129562386093,0.6900000000000004
2,1.9757550499211531,0.7000000000000004
2,1.9772784050622403,0.7100000000000004
2,1.9787060449769265,0.7200000000000004
2,1.9800439836302537,0.7300000000000004
2,1.9812978571186959,0.7400000000000004
2,1.9824729474123417,0.7500000000000004
2,1.983574204605311,0.7600000000000005
2,1.9846062677681375,0.7700000000000005
2,1.9855734844899564,0.7800000000000005
2,1.9864799291928215,0.7900000000000005
2,1.9873294202952985,0.8000000000000005
2,1.9881255362976387,0.8100000000000005
2,1.9888716308562917,0.8200000000000005
2,1.9895708469112579,0.8300000000000005
2,1.990226129925793,0.8400000000000005
2,1.9908402402942385,0.8500000000000005
2,1.9914157649702438,0.8600000000000005
2,1.991955128364367,0.8700000000000006
2,1.9924606025569587,0.8800000000000006
2,1.9929343168693496,0.8900000000000006
2,1.9933782668336666,0.9000000000000006
2,1.9937943225990542,0.9100000000000006
2,1.9941842368097213,0.9200000000000006
2,1.9945496519879933,0.9300000000000006
2,1.9948921074534738,0.9400000000000006
2,1.9952130458074637,0.9500000000000006
2,1.9955138190099506,0.9600000000000006
2,1.995795694074771,0.9700000000000006
2,1.9960598584069338,0.9800000000000006
2,1.9963074248045913,0.9900000000000007
2,1.996539436146726,1.0000000000000007
1,1.9967568697863003,1.0100000000000007
1,1.9341287885955842,1.0200000000000007
1,1.8754357458004118,1.0300000000000007
1,1.8204304956464823,1.0400000000000007
1,1.7688813272884019,1.0500000000000007
1,1.7205710887025696,1.0600000000000007
1,1.6752962719294258,1.0700000000000007
1,1.6328661557916246,1.0800000000000007
1,1.593102002476813,1.0900000000000007
1,1.5558363046006018,1.1000000000000008
1,1.520912079577967,1.1100000000000008
1,1.4881822083306004,1.1200000000000008
1,1.4575088155445073,1.1300000000000008
1,1.4287626888671634,1.1400000000000008
1,1.4018227345975935,1.1500000000000008
