y;u;time
0.0;0;0.0
0.0;0;0.01
0.0;2;0.02
0.033589864930332315;2;0.03
0.11849013110267306;2;0.04
0.23529998631280075;2;0.05
0.3700029313151621;2;0.060000000000000005
0.5125529768090566;2;0.07
0.6559137819747127;2;0.08
0.7952751120871908;2;0.09
0.9275439122313787;2;0.09999999999999999
1.0508485041089248;2;0.10999999999999999
1.16419060332046;2;0.11999999999999998
1.267200426867537;2;0.12999999999999998
1.3599721488378937;2;0.13999999999999999
1.4429167517299037;2;0.15
1.516617282571104;2;0.16
1.5817346778701846;2;0.17
1.6389739366587246;2;0.18000000000000002
1.6890691089036667;2;0.19000000000000003
1.7327564771977237;2;0.20000000000000004
1.7707392561815467;2;0.21000000000000005
1.803665035984752;2;0.22000000000000006
1.8321277720812974;2;0.23000000000000007
1.8566724269119137;2;0.24000000000000007
1.8777930150667737;2;0.25000000000000006
1.8959318013968898;2;0.26000000000000006
1.9114823885030716;2;0.2700000000000001
1.9247929997041384;2;0.2800000000000001
1.9361685959283548;2;0.2900000000000001
1.945876658436895;2;0.3000000000000001
1.9541504192340076;2;0.3100000000000001
1.9611924265957785;2;0.3200000000000001
1.9671793064235954;2;0.3300000000000001
1.9722631774723598;2;0.34000000000000014
1.9765761115527092;2;0.35000000000000014
1.980229301209588;2;0.36000000000000015
1.9833228298709418;2;0.37000000000000016
1.985937257353781;2;0.38000000000000017
1.9881448407075053;2;0.3900000000000002
1.9900119068990825;2;0.4000000000000002
1.9915833310015496;2;0.4100000000000002
1.992910910066438;2;0.4200000000000002
1.99403186074531;2;0.4300000000000002
1.9949759204978628;2;0.4400000000000002
1.9957746959623464;2;0.45000000000000023
1.9964471503798151;2;0.46000000000000024
1.9970146365232102;2;0.47000000000000025
1.9974933349860695;2;0.48000000000000026
1.997895832873799;2;0.49000000000000027
1.998234747074884;2;0.5000000000000002
1.9985188315021098;2;0.5100000000000002
1.998757169354376;2;0.5200000000000002
1.998957513741404;2;0.5300000000000002
1.9991247513140138;2;0.5400000000000003
